EmployeeID	FacilitiesSatisfaction	RoleSatisfaction	HierarchySatisfaction	BalanceWork&Life
365	1	4	3	Good
366	3	3	4	Great
367	4	3	2	Good
368	4	3	4	Good
369	3	2	4	Good
370	4	3	4	Good
371	2	3	3	Good
372	1	4	3	Good
373	2	1	4	Medium
374	1	4	2	Good
375	3	4	4	Good
376	1	3	4	Good
377	2	4	3	Good
378	3	3	3	Good
379	2	4	4	Good
380	1	3	1	Good
381	1	4	3	Good
382	1	1	1	Great
383	1	4	1	Good
384	4	1	3	Good
385	2	4	2	Good
386	2	2	3	Good
387	3	3	2	Great
388	3	1	3	Good
389	2	4	1	Good
390	1	2	4	Good
391	3	2	3	Great
392	2	4	3	Medium
393	3	1	4	Good
394	4	1	3	Medium
395	3	2	1	Good
396	2	2	4	Medium
397	3	4	1	Great
398	3	4	3	Medium
399	3	4	2	Good
400	1	1	1	Good
401	3	4	3	Good
402	4	3	4	Medium
403	4	4	3	Bad
404	3	2	2	Medium
405	4	4	2	Medium
406	4	1	3	Good
407	4	4	3	Good
408	4	4	2	Great
409	3	3	2	Good
410	3	1	2	Great
411	4	2	2	Medium
412	4	2	2	Good
413	1	1	4	Medium
414	4	3	4	Good
415	4	4	4	Medium
416	1	4	1	Good
417	3	4	1	Good
418	2	1	4	Good
419	4	4	4	Medium
420	3	4	3	Good
421	3	1	4	Good
422	3	3	2	Good
423	4	4	2	Good
424	4	1	3	Good
425	4	2	3	Good
426	4	2	2	Medium
427	1	1	3	Bad
428	3	2	4	Good
429	3	4	1	Good
430	3	1	4	Medium
431	1	3	4	Bad
432	4	2	3	Medium
433	4	3	3	Good
434	4	4	4	Good
435	4	1	4	Good
436	4	2	4	Medium
437	2	4	2	Good
438	4	2	4	Great
439	4	4	3	Medium
440	2	3	4	Good
441	2	4	4	Medium
442	4	3	3	Good
443	2	4	1	Good
444	1	4	2	Medium
445	1	4	3	Good
446	3	4	3	Good
447	2	1	2	Good
448	4	2	4	Medium
449	4	3	3	Good
450	1	2	1	Medium
451	3	3	4	Good
452	4	4	4	Great
453	1	4	3	Great
454	4	2	3	Medium
455	4	2	4	Good
456	2	1	1	Medium
457	2	4	1	Good
458	4	4	4	Good
459	1	1	3	Good
460	3	2	4	Good
461	4	4	2	Good
462	2	1	3	Good
463	2	4	2	Medium
464	3	4	1	Good
465	3	2	1	Medium
466	2	2	1	Good
467	3	2	3	Good
468	3	3	2	Good
469	1	2	3	Good
470	4	3	3	Good
471	3	3	1	Good
472	4	2	2	Great
473	1	3	1	Good
474	4	3	2	Good
475	3	3	4	Good
476	4	2	2	Great
477	1	1	1	Good
478	3	4	4	Medium
479	3	2	3	Bad
480	2	3	1	Good
481	2	3	1	Medium
482	3	2	4	Good
483	3	3	2	Great
484	2	2	1	Good
485	3	3	1	Good
486	2	1	4	Good
487	3	1	3	Great
488	3	3	1	Great
489	1	3	4	Good
490	4	3	2	Good
491	2	1	3	Medium
492	4	4	2	Good
493	3	2	4	Good
494	4	3	2	Good
495	2	3	4	Medium
496	3	3	4	Great
497	4	1	1	Good
498	2	2	4	Good
499	3	3	2	Good
500	3	1	3	Good
501	4	3	2	Good
502	1	4	2	Good
503	4	3	4	Good
504	3	4	2	Good
505	3	4	2	Medium
506	3	3	3	Good
507	2	2	3	Medium
508	1	3	1	Good
509	2	3	1	Good
510	4	3	4	Good
511	3	4	1	Good
512	3	3	3	Great
513	3	2	2	Good
514	3	2	2	Medium
515	1	1	4	Great
516	3	3	3	Good
517	3	1	4	Medium
518	4	3	2	Medium
519	2	2	1	Bad
520	3	3	1	Good
521	3	4	2	Good
522	3	3	2	Great
523	3	2	3	Good
524	1	3	2	Medium
525	3	2	3	Great
526	4	3	3	Medium
527	1	3	4	Good
528	4	3	4	Good
529	4	4	3	Medium
530	3	3	2	Medium
531	4	4	4	Medium
532	1	3	3	Great
533	3	2	1	Great
534	2	3	2	Medium
535	4	1	2	Medium
536	2	3	4	Bad
537	4	2	3	Good
538	4	2	4	Medium
539	4	4	1	Bad
540	4	4	1	Good
541	3	4	3	Great
542	4	3	4	Good
543	4	4	3	Medium
544	3	2	2	Medium
545	2	2	2	Medium
546	3	3	4	Good
547	4	4	4	Good
548	1	4	3	Medium
549	2	4	3	Medium
550	2	1	4	Medium
551	4	2	1	Good
552	3	1	1	Good
553	4	3	3	Good
554	2	4	4	Good
555	3	4	3	Medium
556	3	1	4	Medium
557	4	3	3	Good
558	2	3	4	Great
559	2	3	2	Medium
560	2	3	3	Good
561	1	4	4	Great
562	4	4	1	Good
563	3	4	4	Good
564	4	1	4	Good
565	1	2	4	Good
566	4	1	1	Bad
567	3	4	1	Good
568	2	4	3	Medium
569	2	3	2	Great
570	3	1	2	Good
571	1	4	4	Good
572	3	1	2	Medium
573	4	4	2	Great
574	3	4	1	Good
575	4	2	4	Medium
576	3	3	4	Great
577	3	2	2	Great
578	4	3	2	Good
579	3	1	4	Good
580	3	3	3	Good
581	3	1	3	Good
582	4	4	2	Medium
583	2	3	2	Medium
584	2	3	1	Good
585	4	3	1	Good
586	4	1	3	Great
587	4	2	1	Good
588	2	1	4	Good
589	3	1	4	Good
590	2	4	4	Great
591	1	4	1	Great
592	2	1	2	Good
593	4	3	1	Bad
594	3	1	3	Good
595	4	2	1	Good
596	4	3	1	Good
597	2	1	4	Good
598	4	1	1	Good
599	4	3	3	Good
600	4	4	3	Good
601	4	3	2	Good
602	3	1	1	Good
603	3	3	3	Good
604	2	2	2	Good
605	2	4	3	Good
606	4	1	3	Medium
607	1	3	2	Good
608	2	1	2	Good
609	4	4	2	Medium
610	1	4	3	Good
611	4	3	4	Good
612	4	1	4	Medium
613	3	4	1	Good
614	3	4	3	Good
615	3	1	4	Medium
616	4	4	1	Good
617	1	4	1	Good
618	4	1	1	Good
619	2	4	1	Bad
620	1	2	4	Medium
621	2	2	3	Good
622	2	3	1	Good
623	4	4	1	Medium
624	3	3	4	Good
625	3	4	2	Medium
626	2	2	4	Good
627	3	1	3	Medium
628	3	3	4	Medium
629	4	1	4	Good
630	3	4	1	Good
631	4	1	4	Good
632	2	1	4	Good
633	3	2	1	Bad
634	4	4	3	Medium
635	3	3	1	Good
636	3	1	3	Good
637	4	4	4	Great
638	2	4	3	Great
639	1	3	3	Good
640	2	4	4	Great
282	4	1	4	Medium
641	2	2	2	Medium
642	2	4	2	Good
643	1	3	4	Good
644	2	4	4	Good
645	1	4	4	Medium
646	2	3	1	Medium
647	4	4	2	Good
648	3	4	2	Medium
649	4	4	3	Good
650	3	1	3	Good
651	3	1	4	Medium
652	4	4	2	Good
653	3	2	4	Good
654	2	4	3	Good
655	3	2	1	Good
656	2	4	3	Bad
657	2	2	1	Good
658	3	1	3	Medium
659	1	4	3	Medium
660	3	4	3	Good
661	2	3	1	Medium
662	2	1	4	Great
663	3	3	3	Good
664	4	1	3	Good
665	4	4	3	Medium
666	3	1	4	Medium
667	3	4	4	Good
668	3	4	2	Good
669	4	4	2	Good
670	4	4	1	Medium
671	3	3	4	Good
672	3	3	2	Good
673	4	4	4	Good
674	1	4	3	Medium
675	3	3	1	Bad
676	3	3	3	Good
677	4	1	2	Medium
678	1	4	4	Great
679	4	2	3	Good
680	2	2	2	Medium
681	1	4	3	Good
682	4	4	3	Good
683	3	4	3	Good
684	3	4	3	Medium
685	2	1	2	Great
686	3	4	3	Medium
687	3	2	2	Medium
688	3	3	2	Medium
689	4	2	2	Good
690	3	2	3	Good
691	4	4	3	Medium
692	2	3	4	Good
693	2	4	1	Medium
694	2	2	2	Good
695	1	2	3	Good
696	1	3	4	Medium
697	3	1	2	Good
698	4	3	4	Medium
699	3	1	1	Good
700	4	3	3	Good
701	3	2	4	Good
702	1	3	1	Great
703	1	2	3	Good
704	2	3	2	Great
705	4	4	3	Good
706	2	3	3	Good
707	3	4	1	Good
708	2	2	1	Good
709	3	2	3	Medium
710	1	1	1	Great
711	1	3	3	Medium
712	2	4	4	Good
713	3	1	4	Good
714	3	4	3	Bad
715	3	4	2	Bad
716	3	2	2	Good
717	3	3	1	Good
718	3	2	4	Medium
719	3	1	1	Great
720	4	4	4	Great
721	3	3	2	Good
722	4	3	4	Great
723	4	1	3	Good
724	3	3	4	Good
725	3	4	3	Bad
726	3	2	2	Great
727	2	2	3	Bad
728	4	4	4	Medium
729	3	4	2	Great
730	1	4	1	Good
731	3	3	4	Medium
732	1	1	3	Good
733	4	4	4	Good
734	4	3	4	Good
735	3	4	3	Good
736	4	3	1	Good
737	3	2	4	Good
738	4	2	4	Good
739	3	1	2	Good
740	4	2	2	Good
741	2	3	3	Good
742	1	4	2	Medium
743	3	4	3	Good
744	4	3	4	Great
745	4	2	3	Good
746	2	1	2	Good
747	3	3	4	Good
748	2	4	2	Good
749	2	3	2	Good
750	4	3	3	Good
751	4	4	4	Bad
752	1	3	2	Good
753	3	4	3	Good
754	1	2	2	Good
755	3	4	3	Bad
756	1	4	3	Good
757	4	3	3	Good
758	3	4	3	Medium
759	1	3	4	Good
760	1	2	4	Great
761	1	3	3	Medium
762	3	3	4	Good
763	3	3	3	Good
764	1	3	3	Good
765	2	3	4	Good
766	2	3	4	Good
767	4	1	4	Good
768	4	1	2	Good
769	4	1	2	Medium
770	4	3	2	Good
771	3	2	2	Good
772	3	4	3	Good
773	4	2	4	Medium
774	2	4	3	Medium
775	2	4	2	Medium
776	1	4	4	Good
777	4	1	3	Good
778	3	3	3	Medium
779	2	4	4	Good
780	1	1	3	Good
781	3	1	4	Good
782	3	1	1	Great
783	1	4	4	Medium
784	3	4	2	Medium
785	3	4	2	Good
786	4	4	2	Medium
787	4	4	3	Good
788	3	3	1	Good
789	2	4	1	Good
790	3	3	2	Good
791	3	4	2	Good
792	4	4	4	Good
793	4	4	3	Medium
794	1	3	2	Good
795	3	4	1	Good
796	1	3	3	Good
797	1	3	2	Good
798	1	1	1	Good
799	1	4	3	Medium
800	3	2	3	Medium
801	1	2	1	Bad
802	4	4	4	Good
803	1	1	1	Good
804	3	3	2	Bad
805	4	1	4	Good
806	2	4	1	Medium
807	2	3	4	Good
808	2	2	2	Great
809	4	3	1	Bad
810	1	3	2	Good
811	3	1	1	Good
812	4	2	3	Good
813	4	2	2	Medium
814	1	3	3	Good
815	3	1	3	Good
816	1	4	4	Great
817	2	4	1	Great
818	4	3	2	Medium
819	3	1	3	Bad
820	1	2	4	Good
821	2	1	2	Great
822	4	3	3	Good
823	4	2	1	Medium
824	4	1	4	Good
825	3	3	4	Good
826	4	2	3	Medium
827	1	2	1	Bad
828	3	3	1	Great
829	1	2	4	Good
830	3	3	3	Medium
831	3	4	2	Great
832	4	1	2	Bad
833	4	2	4	Good
834	4	4	4	Good
835	2	3	1	Good
836	3	2	1	Good
837	1	3	3	Good
838	4	1	3	Good
839	4	1	4	Good
840	2	1	2	Medium
841	4	3	3	Good
842	4	3	4	Great
843	3	3	3	Good
844	4	2	3	Good
845	4	1	1	Good
846	4	3	1	Good
847	1	4	3	Great
848	3	3	4	Good
849	4	3	3	Good
850	1	3	1	Medium
851	2	3	4	Great
852	4	4	4	Medium
853	3	3	3	Great
854	1	3	3	Good
855	4	4	1	Good
856	4	4	3	Great
857	2	2	2	Medium
858	3	1	2	Good
859	4	3	2	Good
860	2	2	1	Good
861	3	2	3	Medium
862	3	4	3	Great
863	4	2	3	Good
864	3	4	4	Good
865	2	3	2	Great
866	3	4	1	Good
867	4	4	3	Medium
868	2	4	2	Great
869	3	4	4	Good
870	4	1	3	Good
871	4	1	2	Good
872	3	2	3	Good
873	3	4	4	Good
874	2	2	3	Medium
875	2	4	4	Great
876	2	4	4	Good
877	2	1	4	Bad
878	3	3	3	Medium
879	1	2	2	Good
880	1	1	1	Medium
881	3	4	2	Good
882	3	1	4	Good
883	4	4	3	Great
884	4	4	1	Good
885	1	3	2	Medium
886	3	2	3	Good
887	4	3	3	Good
888	3	3	2	Good
889	4	1	2	Bad
890	3	4	3	Good
891	3	3	2	Good
892	1	3	4	Medium
893	2	1	3	Good
894	4	4	4	Great
895	2	1	3	Medium
896	3	1	3	Good
897	1	3	4	Medium
898	2	2	4	Good
899	4	4	2	Good
900	1	3	1	Bad
901	1	4	4	Good
902	3	3	4	Good
903	3	4	3	Good
904	2	2	4	Medium
905	4	1	3	Good
906	4	2	1	Medium
907	4	1	3	Good
908	3	4	3	Medium
909	3	2	1	Good
910	1	3	4	Good
911	2	4	3	Medium
912	4	2	4	Good
913	3	2	2	Medium
914	4	3	4	Medium
915	2	4	3	Medium
916	3	4	3	Medium
917	4	3	1	Medium
918	4	4	4	Good
919	1	1	3	Medium
920	4	1	3	Good
921	1	4	1	Good
922	4	3	4	Good
923	3	1	2	Good
924	1	4	4	Good
925	2	3	1	Good
926	2	1	4	Great
927	4	4	4	Medium
928	4	4	1	Good
929	4	1	3	Medium
930	2	4	3	Good
931	3	4	2	Good
932	3	3	4	Good
933	4	4	4	Good
934	1	1	3	Medium
935	2	1	3	Good
936	1	1	3	Medium
937	3	1	2	Good
938	4	2	3	Great
939	1	4	3	Good
940	1	4	2	Good
941	4	3	2	Good
942	3	2	4	Bad
943	3	1	3	Good
944	2	1	1	Medium
945	4	2	1	Medium
946	1	3	4	Medium
947	4	3	3	Good
948	4	2	4	Good
949	1	3	2	Medium
950	3	1	3	Good
951	4	2	1	Good
952	4	1	1	Great
953	3	4	2	Good
954	4	3	3	Medium
955	3	3	2	Good
956	2	2	3	Good
957	4	3	3	Medium
958	4	3	4	Good
959	2	2	2	Good
960	1	4	4	Good
961	1	1	1	Good
962	4	1	3	Good
963	4	4	3	Medium
964	2	3	1	Medium
965	4	1	1	Good
966	3	1	4	Good
967	1	3	2	Good
968	3	2	2	Good
969	2	3	2	Medium
970	3	3	1	Medium
971	3	4	4	Medium
972	4	4	3	Medium
973	1	1	2	Bad
974	1	2	2	Good
975	1	2	3	Good
976	4	2	2	Good
977	2	4	3	Good
978	1	2	4	Good
979	4	3	3	Bad
980	3	4	3	Medium
981	3	3	3	Good
982	3	1	4	Medium
983	2	4	1	Medium
984	1	4	4	Good
985	3	2	3	Bad
986	4	4	3	Medium
987	2	3	3	Good
988	1	3	1	Good
989	3	1	4	Great
990	3	4	1	Medium
991	1	3	3	Medium
992	2	3	2	Medium
993	4	1	3	Medium
994	2	4	3	Good
995	4	2	2	Good
996	4	1	4	Good
997	3	4	4	Good
998	4	2	1	Good
999	4	3	4	Good
1000	2	3	1	Great
1001	4	4	3	Good
1002	1	3	3	Good
1003	2	1	4	Medium
1004	1	3	1	Medium
1005	2	2	3	Great
1006	3	1	4	Good
1007	3	4	4	Good
1008	2	3	4	Good
1009	2	2	4	Good
1010	4	3	2	Good
1011	4	1	4	Good
1012	3	4	1	Great
1013	4	2	4	Good
1014	3	3	4	Medium
1015	4	4	4	Bad
1016	3	2	4	Good
1017	4	3	4	Bad
1018	3	3	3	Good
1019	3	4	1	Good
1020	3	1	1	Medium
1021	1	3	4	Good
1022	4	1	3	Good
1023	4	4	4	Good
1024	4	3	1	Great
1025	1	2	4	Good
1026	3	1	4	Good
1027	1	4	4	Medium
1028	4	3	2	Good
1029	2	4	3	Good
1030	3	3	3	Good
1031	1	2	3	Good
1032	4	3	3	Good
1033	1	4	3	Medium
1034	4	4	4	Good
1035	3	3	1	Good
1036	4	4	1	Good
1037	1	4	2	Bad
1038	1	3	3	Bad
1039	3	4	3	Good
1040	4	2	1	Good
1041	2	1	3	Good
1042	4	4	2	Great
1043	2	1	3	Bad
1044	1	4	4	Good
1045	4	3	3	Medium
1046	4	1	1	Bad
1047	3	3	3	Good
1048	3	4	3	Good
1049	2	2	3	Good
1050	1	1	1	Great
1051	4	2	3	Good
1052	1	4	2	Medium
1053	3	1	2	Good
1054	1	1	3	Good
1055	3	4	3	Bad
1056	1	4	3	Medium
1057	4	4	2	Good
1058	2	3	3	Good
1059	4	4	1	Medium
1060	2	3	1	Great
1061	3	1	2	Good
1062	3	2	3	Good
1063	3	4	2	Good
1064	3	1	1	Good
1065	2	4	1	Good
1066	2	2	1	Good
1067	1	4	2	Good
1068	2	4	1	Medium
1069	1	1	2	Good
1070	1	3	4	Good
1071	4	2	2	Good
1072	4	4	3	Good
1073	4	2	3	Good
1074	4	3	4	Medium
1075	3	3	4	Good
1076	1	3	3	Medium
1077	1	4	1	Good
1078	3	1	4	Good
1079	3	3	4	Good
1080	4	1	2	Medium
1081	4	1	2	Good
1082	4	2	1	Great
1083	1	1	3	Great
1084	4	4	3	Medium
1085	3	2	1	Medium
1086	1	3	2	Medium
1087	1	3	1	Good
1088	1	4	2	Medium
1089	4	1	2	Good
1090	1	2	3	Great
1091	3	1	1	Medium
1092	1	1	1	Good
1093	1	1	4	Great
1094	4	2	4	Good
1095	2	4	4	Great
1096	1	3	2	Medium
1097	3	3	3	Great
1098	1	3	4	Great
1099	4	3	2	Good
1100	3	1	1	Good
1101	4	2	3	Good
1102	3	4	4	Medium
1103	4	1	2	Good
1104	2	2	2	Great
1105	1	1	4	Good
1106	2	4	4	Good
1107	3	3	2	Good
1108	2	3	1	Good
1109	2	1	3	Good
1110	4	3	3	Good
1111	2	2	3	Good
1112	1	3	2	Medium
1113	3	4	2	Good
1114	4	3	3	Great
1115	3	2	2	Good
1116	3	2	3	Bad
1117	4	3	4	Great
1118	1	3	4	Medium
1119	1	3	3	Medium
14	4	3	3	Good
1120	2	2	1	Bad
1121	1	1	4	Good
1122	3	1	3	Good
1123	3	4	2	Good
1124	4	1	2	Good
1125	4	2	4	Good
1126	1	3	3	Good
1127	4	3	4	Great
1128	4	1	2	Good
1129	1	2	4	Good
1130	2	4	3	Good
1131	2	1	4	Medium
1132	2	4	1	Medium
1133	4	4	1	Good
1134	3	3	3	Medium
1135	3	4	3	Medium
1136	3	1	3	Good
1137	4	4	3	Good
1138	3	4	3	Good
1139	3	4	4	Good
1140	2	3	3	Good
1141	1	3	4	Good
1142	3	4	1	Good
1143	4	2	4	Bad
1144	3	1	3	Good
1145	3	4	3	Good
1146	3	1	3	Good
1147	3	4	2	Medium
1148	2	3	4	Medium
1149	2	3	1	Good
1150	3	4	3	Medium
1151	4	4	2	Good
1152	4	2	3	Medium
1153	1	1	4	Good
1154	3	4	2	Bad
1155	4	3	2	Great
1156	3	2	4	Good
1157	4	3	2	Good
1158	1	2	4	Good
1159	1	1	3	Good
1160	1	4	4	Medium
1161	4	3	4	Medium
1162	3	2	2	Great
1163	2	3	4	Good
1164	3	3	3	Good
1165	1	3	4	Medium
1166	4	4	3	Good
1167	1	3	2	Great
1168	4	4	1	Great
1169	1	3	4	Good
1170	2	2	4	Good
1171	1	3	1	Good
1172	1	1	4	Good
1173	4	2	4	Good
1174	3	3	4	Good
1175	4	4	3	Good
1176	4	2	4	Good
1177	4	4	4	Good
1178	1	3	4	Good
1179	1	4	1	Good
1180	4	3	3	Good
1181	4	3	3	Good
1182	3	3	4	Medium
1183	4	4	1	Bad
1184	2	4	4	Good
1185	2	2	4	Good
1186	1	4	3	Good
1187	3	3	4	Medium
1188	3	3	2	Good
1189	4	1	4	Bad
1190	3	2	2	Good
1191	3	3	2	Medium
1192	1	3	4	Good
1193	4	3	2	Good
1194	2	1	4	Good
1195	2	4	4	Medium
1196	3	3	1	Good
1197	4	4	4	Good
1198	4	4	2	Good
1199	1	2	2	Good
1200	4	2	3	Great
1201	3	4	1	Good
1202	3	3	3	Medium
1203	4	4	2	Great
1204	1	3	1	Medium
1205	4	1	3	Good
1206	3	4	4	Good
1207	3	2	3	Good
1208	1	3	3	Bad
1209	4	4	2	Good
1210	4	2	4	Medium
